genre,response,file.name,title,author,language,download.count
adventure,SUCCESS,103.txt,"around the world in 80 days","verne, jules, 1828-1905",en,3260
adventure,SUCCESS,1145.txt,"rupert of hentzau","hope, anthony, 1863-1933",en,141
adventure,SUCCESS,1947.txt,"scaramouche","sabatini, rafael, 1875-1950",en,434
adventure,SUCCESS,19513.txt,"a journey to the center of the earth","verne, jules, 1828-1905",en,336
adventure,SUCCESS,1965.txt,"captain blood","sabatini, rafael, 1875-1950",en,638
adventure,SUCCESS,2166.txt,"king solomon's mines","haggard, h. rider (henry rider), 1856-1925",en,1667
adventure,SUCCESS,24091.txt,"despoilers of the golden empire","garrett, randall, 1927-1987",en,115
adventure,SUCCESS,2727.txt,"allan's wife","haggard, h. rider (henry rider), 1856-1925",en,200
adventure,SUCCESS,393.txt,"the blue lagoon: a romance","stacpoole, h. de vere (henry de vere), 1863-1951",en,175
adventure,SUCCESS,95.txt,"the prisoner of zenda","hope, anthony, 1863-1933",en,669
adventure,FAILURE,10368.txt,"the vizier of the two-horned alexander","stockton, frank richard, 1834-1902",en,15
adventure,FAILURE,12190.txt,"the adventures of captain horn","stockton, frank richard, 1834-1902",en,17
adventure,FAILURE,13290.txt,"martin rattler","ballantyne, r. m. (robert michael), 1825-1894",en,13
adventure,FAILURE,15072.txt,"marjorie's maytime","wells, carolyn, 1862-1942",en,10
adventure,FAILURE,18399.txt,"the shipwreck a story for the young","spillman, joseph, 1842-1905",en,7
adventure,FAILURE,21393.txt,"hendricks the hunter the border farm, a tale of zululand","kingston, william henry giles, 1814-1880",en,15
adventure,FAILURE,21459.txt,"dick onslow among the redskins","kingston, william henry giles, 1814-1880",en,12
adventure,FAILURE,23662.txt,"the heart of unaga","cullum, ridgwell, 1867-1943",en,12
adventure,FAILURE,24695.txt,"the snowshoe trail","marshall, edison, 1894-1967",en,16
adventure,FAILURE,8493.txt,"the last hope","merriman, henry seton, 1862-1903",en,11
adventure,SUCCESS,106.txt,"jungle tales of tarzan","burroughs, edgar rice, 1875-1950",en,377
adventure,SUCCESS,123.txt,"at the earth's core","burroughs, edgar rice, 1875-1950",en,479
adventure,SUCCESS,126.txt,"the poison belt","doyle, arthur conan, sir, 1859-1930",en,413
adventure,SUCCESS,17047.txt,"the half-hearted","buchan, john, 1875-1940",en,252
adventure,SUCCESS,20898.txt,"the galaxy primes","smith, e. e. (edward elmer), 1890-1965",en,354
adventure,SUCCESS,25577.txt,"all adrift or the goldwing club","optic, oliver, 1822-1897",en,160
adventure,SUCCESS,3782.txt,"huntingtower","buchan, john, 1875-1940",en,126
adventure,SUCCESS,468.txt,"manon lescaut","pr�vost, abb�, 1697-1763",en,277
adventure,SUCCESS,9609.txt,"joseph andrews, vol. 2","fielding, henry, 1707-1754",en,139
adventure,SUCCESS,9611.txt,"joseph andrews, vol. 1","fielding, henry, 1707-1754",en,257
adventure,FAILURE,10690.txt,"a desperate chance or, the wizard tramp's revelation, a thrilling narrative","halsey, harlan page, 1839?-1898",en,17
adventure,FAILURE,12191.txt,"the red axe","crockett, s. r. (samuel rutherford), 1860-1914",en,17
adventure,FAILURE,13276.txt,"the mission","marryat, frederick, 1792-1848",en,9
adventure,FAILURE,13405.txt,"the travels and adventures of monsieur violet in california, sonora, and western texas","marryat, frederick, 1792-1848",en,17
adventure,FAILURE,19235.txt,"under the great bear","munroe, kirk, 1850-1930",en,7
adventure,FAILURE,21268.txt,"the search for the silver city a tale of adventure in yucatan","otis, james, 1848-1912",en,10
